desarrollo,colonia,m2_interiores,m2_totales,m2_jardin,m2_terraza,estacionamientos,eje,precio_listado,precio_cerrado,descuento_pct,fecha_creacion,fecha_firma,anio_firma,mes_firma,dias_creacion_a_firma,precio_m2
Serena,Altos Juriquilla,165.4,237.8,72.4,0,2,Horizontal,3702230.2,3726019.05,0.5,4/17/2020,3/22/2022,2022,3,704,22527.321946795644
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2794126.67,2752214.77,1.5,11/13/2020,3/29/2022,2022,3,501,18520.960767160163
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2811730.22,2822230.22,0,11/13/2020,3/28/2022,2022,3,500,19238.106475800956
Loretta,Altos Juriquilla,138.8,185.4,46.6,0,2,Horizontal,3082618.05,3005552.6,2.5,11/13/2020,3/31/2022,2022,3,503,21653.837175792505
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2763347.88,2763347.88,0,11/13/2020,3/30/2022,2022,3,502,25030.324999999997
Alondra,Altos Juriquilla,134.1,159,24.9,0,2,Horizontal,3245962.32,3245962.32,0,2/17/2022,3/31/2022,2022,3,42,24205.535570469798
Alondra,Altos Juriquilla,240.3,287.7,47.4,0,2,Horizontal,4773226.86,4773226.86,0,2/17/2022,3/27/2022,2022,3,38,19863.61573033708
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2794126.67,2794126.67,0,11/13/2020,3/30/2022,2022,3,502,18803.00585464334
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,3173266.91,3235466.91,0,11/13/2020,4/6/2022,2022,4,509,23310.280331412105
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,3042334.65,3007199.63,1.5,11/13/2020,3/31/2022,2022,3,503,21665.703386167144
Loretta,Altos Juriquilla,136.1,194.1,0,58,2,Horizontal,2678071.08,2661790.37,1,11/13/2020,4/22/2022,2022,4,525,19557.607421013963
Loretta,Altos Juriquilla,115.2,193.8,78.6,0,2,Horizontal,2990316.9,3018316.9,0,11/13/2020,4/9/2022,2022,4,512,26200.66753472222
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2811730.22,2822230.22,0,11/13/2020,4/10/2022,2022,4,513,19238.106475800956
